OBS,DX_CD,DX_DSC
429,C4081,Malignant neoplasm of overlapping sites of bone and articular cartilage of right limb
430,C4082,Malignant neoplasm of overlapping sites of bone and articular cartilage of left limb
431,C4090,Malignant neoplasm of unspecified bones and articular cartilage of unspecified limb
432,C4091,Malignant neoplasm of unspecified bones and articular cartilage of right limb
433,C4092,Malignant neoplasm of unspecified bones and articular cartilage of left limb
434,C410,Malignant neoplasm of bones of skull and face
435,C411,Malignant neoplasm of mandible
436,C412,Malignant neoplasm of vertebral column
437,C413,"Malignant neoplasm of ribs, sternum and clavicle"
438,C414,"Malignant neoplasm of pelvic bones, sacrum and coccyx"
439,C419,"Malignant neoplasm of bone and articular cartilage, unspecified"
440,C430,Malignant melanoma of lip
441,C4310,"Malignant melanoma of unspecified eyelid, including canthus"
442,C43111,"Malignant melanoma of right upper eyelid, including canthus"
443,C43112,"Malignant melanoma of right lower eyelid, including canthus"
444,C43121,"Malignant melanoma of left upper eyelid, including canthus"
445,C43122,"Malignant melanoma of left lower eyelid, including canthus"
446,C4320,Malignant melanoma of unspecified ear and external auricular canal
447,C4321,Malignant melanoma of right ear and external auricular canal
448,C4322,Malignant melanoma of left ear and external auricular canal
449,C4330,Malignant melanoma of unspecified part of face
450,C4331,Malignant melanoma of nose
451,C4339,Malignant melanoma of other parts of face
452,C434,Malignant melanoma of scalp and neck
453,C4351,Malignant melanoma of anal skin
454,C4352,Malignant melanoma of skin of breast
455,C4359,Malignant melanoma of other part of trunk
456,C4360,"Malignant melanoma of unspecified upper limb, including shoulder"
457,C4361,"Malignant melanoma of right upper limb, including shoulder"
458,C4362,"Malignant melanoma of left upper limb, including shoulder"
459,C4370,"Malignant melanoma of unspecified lower limb, including hip"
460,C4371,"Malignant melanoma of right lower limb, including hip"
461,C4372,"Malignant melanoma of left lower limb, including hip"
462,C438,Malignant melanoma of overlapping sites of skin
463,C439,"Malignant melanoma of skin, unspecified"
464,C450,Mesothelioma of pleura
465,C451,Mesothelioma of peritoneum
466,C452,Mesothelioma of pericardium
467,C457,Mesothelioma of other sites
468,C459,"Mesothelioma, unspecified"
469,C460,Kaposi's sarcoma of skin
470,C461,Kaposi's sarcoma of soft tissue
471,C462,Kaposi's sarcoma of palate
472,C463,Kaposi's sarcoma of lymph nodes
473,C464,Kaposi's sarcoma of gastrointestinal sites
474,C4650,Kaposi's sarcoma of unspecified lung
475,C4651,Kaposi's sarcoma of right lung
476,C4652,Kaposi's sarcoma of left lung
477,C467,Kaposi's sarcoma of other sites
478,C469,"Kaposi's sarcoma, unspecified"
479,C470,"Malignant neoplasm of peripheral nerves of head, face and neck"
480,C4710,"Malignant neoplasm of peripheral nerves of unspecified upper limb, including shoulder"
481,C4711,"Malignant neoplasm of peripheral nerves of right upper limb, including shoulder"
482,C4712,"Malignant neoplasm of peripheral nerves of left upper limb, including shoulder"
483,C4720,"Malignant neoplasm of peripheral nerves of unspecified lower limb, including hip"
484,C4721,"Malignant neoplasm of peripheral nerves of right lower limb, including hip"
485,C4722,"Malignant neoplasm of peripheral nerves of left lower limb, including hip"
486,C473,Malignant neoplasm of peripheral nerves of thorax
487,C474,Malignant neoplasm of peripheral nerves of abdomen
488,C475,Malignant neoplasm of peripheral nerves of pelvis
489,C476,"Malignant neoplasm of peripheral nerves of trunk, unspecified"
490,C478,Malignant neoplasm of overlapping sites of peripheral nerves and autonomic nervous system
491,C479,"Malignant neoplasm of peripheral nerves and autonomic nervous system, unspecified"
492,C480,Malignant neoplasm of retroperitoneum
493,C481,Malignant neoplasm of specified parts of peritoneum
494,C482,"Malignant neoplasm of peritoneum, unspecified"
495,C488,Malignant neoplasm of overlapping sites of retroperitoneum and peritoneum
496,C490,"Malignant neoplasm of connective and soft tissue of head, face and neck"
497,C4910,"Malignant neoplasm of connective and soft tissue of unspecified upper limb, including shoulder"
498,C4911,"Malignant neoplasm of connective and soft tissue of right upper limb, including shoulder"
499,C4912,"Malignant neoplasm of connective and soft tissue of left upper limb, including shoulder"
500,C4920,"Malignant neoplasm of connective and soft tissue of unspecified lower limb, including hip"
501,C4921,"Malignant neoplasm of connective and soft tissue of right lower limb, including hip"
502,C4922,"Malignant neoplasm of connective and soft tissue of left lower limb, including hip"
503,C493,Malignant neoplasm of connective and soft tissue of thorax
504,C494,Malignant neoplasm of connective and soft tissue of abdomen
505,C495,Malignant neoplasm of connective and soft tissue of pelvis
506,C496,"Malignant neoplasm of connective and soft tissue of trunk, unspecified"
507,C498,Malignant neoplasm of overlapping sites of connective and soft tissue
508,C499,"Malignant neoplasm of connective and soft tissue, unspecified"
509,C49A0,"Gastrointestinal stromal tumor, unspecified site"
510,C49A1,Gastrointestinal stromal tumor of esophagus
511,C49A2,Gastrointestinal stromal tumor of stomach
512,C49A3,Gastrointestinal stromal tumor of small intestine
513,C49A4,Gastrointestinal stromal tumor of large intestine
514,C49A5,Gastrointestinal stromal tumor of rectum
515,C49A9,Gastrointestinal stromal tumor of other sites
516,C4A0,Merkel cell carcinoma of lip
517,C4A10,"Merkel cell carcinoma of unspecified eyelid, including canthus"
518,C4A111,"Merkel cell carcinoma of right upper eyelid, including canthus"
519,C4A112,"Merkel cell carcinoma of right lower eyelid, including canthus"
520,C4A121,"Merkel cell carcinoma of left upper eyelid, including canthus"
521,C4A122,"Merkel cell carcinoma of left lower eyelid, including canthus"
522,C4A20,Merkel cell carcinoma of unspecified ear and external auricular canal
523,C4A21,Merkel cell carcinoma of right ear and external auricular canal
524,C4A22,Merkel cell carcinoma of left ear and external auricular canal
525,C4A30,Merkel cell carcinoma of unspecified part of face
526,C4A31,Merkel cell carcinoma of nose
527,C4A39,Merkel cell carcinoma of other parts of face
528,C4A4,Merkel cell carcinoma of scalp and neck
529,C4A51,Merkel cell carcinoma of anal skin
530,C4A52,Merkel cell carcinoma of skin of breast
531,C4A59,Merkel cell carcinoma of other part of trunk
532,C4A60,"Merkel cell carcinoma of unspecified upper limb, including shoulder"
533,C4A61,"Merkel cell carcinoma of right upper limb, including shoulder"
534,C4A62,"Merkel cell carcinoma of left upper limb, including shoulder"
535,C4A70,"Merkel cell carcinoma of unspecified lower limb, including hip"
536,C4A71,"Merkel cell carcinoma of right lower limb, including hip"
537,C4A72,"Merkel cell carcinoma of left lower limb, including hip"
538,C4A8,Merkel cell carcinoma of overlapping sites
539,C4A9,"Merkel cell carcinoma, unspecified"
540,C50011,"Malignant neoplasm of nipple and areola, right female breast"
541,C50011,"Malignant neoplasm of nipple and areola, right female breast"
542,C50012,"Malignant neoplasm of nipple and areola, left female breast"
543,C50012,"Malignant neoplasm of nipple and areola, left female breast"
544,C50019,"Malignant neoplasm of nipple and areola, unspecified female breast"
545,C50019,"Malignant neoplasm of nipple and areola, unspecified female breast"
546,C50021,"Malignant neoplasm of nipple and areola, right male breast"
547,C50021,"Malignant neoplasm of nipple and areola, right male breast"
548,C50022,"Malignant neoplasm of nipple and areola, left male breast"
549,C50022,"Malignant neoplasm of nipple and areola, left male breast"
550,C50029,"Malignant neoplasm of nipple and areola, unspecified male breast"
551,C50029,"Malignant neoplasm of nipple and areola, unspecified male breast"
552,C50111,Malignant neoplasm of central portion of right female breast
553,C50111,Malignant neoplasm of central portion of right female breast
554,C50112,Malignant neoplasm of central portion of left female breast
555,C50112,Malignant neoplasm of central portion of left female breast
556,C50119,Malignant neoplasm of central portion of unspecified female breast
557,C50119,Malignant neoplasm of central portion of unspecified female breast
558,C50121,Malignant neoplasm of central portion of right male breast
